TradingDate,StockCode,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,TradeAmount,AdjustFactor,SuspendState,IsSpecialTreat
2018-01-02,000001,13.35,13.93,13.32,13.70,208159255,2856543822,106.308803,0,0
2018-01-02,000002,31.45,32.99,31.45,32.56,68343350,2218502766,137.300055,0,0
2018-01-02,000004,22.29,22.49,22.00,22.34,626181,13951004,4.063862,0,0
2018-01-02,000005,4.15,4.50,4.15,4.32,7153934,30529757,9.267603,0,0
2018-01-02,000006,NULL,NULL,NULL,NULL,0,0,33.219499,1,0
2018-01-02,000007,NULL,NULL,NULL,NULL,0,0,8.283528,1,0
2018-01-02,000008,8.75,8.82,8.70,8.77,8289999,72523239,22.052384,0,0
2018-01-02,000009,7.27,7.33,7.23,7.32,19269993,140497529,7.335322,0,0
2018-01-02,000010,5.38,5.49,5.33,5.48,8519811,46225100,10.774549,0,0
2018-01-02,000011,16.86,17.23,16.80,17.08,4572947,78233953,3.407045,0,0
2018-01-02,000012,8.34,8.72,8.33,8.62,38242586,327359068,20.479930,0,0
2018-01-02,000014,10.78,11.05,10.75,10.92,3241071,35415122,5.377429,0,0
2018-01-02,000016,6.06,6.16,6.03,6.12,12436830,75916581,20.554173,0,0
2018-01-02,000017,6.18,6.27,6.18,6.26,1177318,7343897,2.682736,0,0
